Sentence,Word,TruthNER
9,the,O
9,truth,O
9,",",O
9,she,O
9,added,O
9,.,O
10,The,O
10,minor,O
10,girl,O
10,was,O
10,so,O
10,upset,O
10,that,O
10,she,O
10,did,O
10,not,O
10,take,O
10,dinner,O
10,that,O
10,night,O
10,",",O
10,her,O
10,father,O
10,said,O
10,.,O
11,Her,O
11,father,O
11,",",O
11,a,O
11,labourer,O
11,",",O
11,was,O
11,angry,O
11,and,O
11,so,O
11,was,O
11,her,O
11,mother,O
11,.,O
12,They,O
12,decided,O
12,to,O
12,meet,O
12,the,O
12,school,O
12,administration,O
12,on,O
12,the,O
12,next,O
12,day,O
12,.,O
13,On,O
13,Friday,O
13,",",O
13,when,O
13,they,O
13,met,O
13,the,O
13,principal,O
13,Rita,PERSON
13,Asati,PERSON
13,",",O
13,she,O
13,denied,O
13,any,O
13,such,O
13,incident,O
13,.,O
14,On,O
14,Saturday,O
14,girl,O
14,told,O
14,local,O
14,media,O
14,",",O
14,After,O
14,a,O
14,student,O
14,said,O
14,she,O
14,had,O
14,lost,O
14,Rs,O
14,70/,O
14,",",O
14,the,O
14,teacher,O
14,checked,O
14,the,O
14,school,O
14,bags,O
14,.,O
15,She,O
15,also,O
15,said,O
15,she,O
15,would,O
15,call,O
15,a,O
15,sorcerer,O
15,to,O
15,find,O
15,out,O
15,the,O
15,truth,O
15,.,O
16,I,O
16,said,O
16,Ok,O
16,call,O
16,him,O
16,",",O
16,If,O
16,I,O
16,have,O
16,stolen,O
16,the,O
16,money,O
16,",",O
16,he,O
16,would,O
16,get,O
16,it,O
16,.,O
17,Later,O
17,she,O
17,asked,O
17,me,O
17,to,O
17,take,O
17,off,O
17,my,O
17,salwar,O
17,.,O
18,In,O
18,fact,O
18,",",O
18,she,O
18,said,O
18,",",O
18,two,O
18,girls,O
18,were,O
18,asked,O
18,to,O
18,undress,O
18,in,O
18,front,O
18,of,O
18,the,O
18,students,O
18,.,O
19,Girl,O
19,parents,O
19,did,O
19,not,O
19,file,O
19,any,O
19,police,O
19,complaint,O
19,.,O
20,The,O
20,DEO,O
20,told,O
20,TOI,ORGANIZATION
20,",",O
20,I,O
20,have,O
20,sought,O
20,explanation,O
20,from,O
20,the,O
20,principal,O
20,.,O
21,A,O
21,team,O
21,of,O
21,women,O
21,principals,O
21,of,O
21,government,O
21,schools,O
21,of,O
21,Damoh,LOCATION
21,will,O
21,hold,O
21,inquiry,O
21,from,O
21,Monday,O
21,.,O
22,Uddhav,PERSON
22,Thackeray,PERSON
22,and,O
22,Mamata,PERSON
22,Banerjee,PERSON
22,meet,O
22,",",O
22,GST,O
22,and,O
22,demonetisation,O
22,on,O
22,table,O
22,.,O
23,Shiv,ORGANIZATION
23,Sena,ORGANIZATION
23,president,O
23,Uddhav,PERSON
23,Thackeray,PERSON
23,on,O
23,Thursday,O
23,held,O
23,an,O
23,hour,O
23,long,O
23,meeting,O
23,with,O
23,Chief,O
23,Minister,O
23,Mamata,PERSON
23,Banerjee,PERSON
23,and,O
23,the,O
23,BJP,ORGANIZATION
23,governments,O
23,economic,O
23,policies,O
23,such,O
23,as,O
23,GST,O
23,and,O
23,demonetisation,O
23,are,O
23,believed,O
23,to,O
23,have,O
23,come,O
23,up,O
23,.,O
24,The,O
24,development,O
24,is,O
24,being,O
24,seen,O
24,as,O
24,a,O
24,meeting,O
24,of,O
24,regional,O
24,parties,O
24,to,O
24,form,O
24,a,O
24,pressure,O
24,group,O
24,against,O
24,the,O
24,BJP,ORGANIZATION
24,before,O
24,the,O
24,2019,O
24,general,O
24,elections,O
24,.,O
25,Thackeray,PERSON
25,said,O
25,his,O
25,meeting,O
25,was,O
25,a,O
25,courtesy,O
25,call,O
25,.,O
26,There,O
26,are,O
26,areas,O
26,of,O
26,common,O
26,concern,O
26,on,O
26,policy,O
26,issues,O
26,.,O
27,We,O
27,were,O
27,the,O
27,first,O
27,ones,O
27,to,O
27,voice,O
27,our,O
27,protest,O
27,against,O
27,the,O
27,GST,O
27,and,O
27,demonetisation,O
27,.,O
28,So,O
28,has,O
28,Trinamool,ORGANIZATION
28,Congress,ORGANIZATION
28,expressed,O
28,concerns,O
28,over,O
28,these,O
28,issues,O
28,",",O
28,he,O
28,said,O
28,",",O
28,adding,O
28,that,O
28,meeting,O
28,should,O
28,not,O
28,be,O
28,perceived,O
28,as,O
28,political,O
28,ploy,O
28,against,O
28,the,O
28,BJP,ORGANIZATION
28,.,O
29,We,O
29,also,O
29,discussed,O
29,on,O
29,taking,O
29,ahead,O
29,the,O
29,proposal,O
29,for,O
29,Kolkata,LOCATION
29,and,O
29,Mumbai,LOCATION
29,municipal,O
29,corporations,O
29,on,O
29,the,O
29,concept,O
29,of,O
29,sister,O
29,cities,O
29,",",O
29,he,O
29,said,O
29,.,O
30,A,O
30,close,O
30,aide,O
30,of,O
30,Mamata,PERSON
30,said,O
30,:,O
30,The,O
30,discussions,O
30,veered,O
30,around,O
30,the,O
30,Modi,PERSON
30,governments,O
30,economic,O
30,policies,O
30,",",O
30,which,O
30,have,O
30,generated,O
30,unrest,O
30,among,O
30,people,O
30,.,O
31,The,O
31,aide,O
31,mentioned,O
31,GST,O
31,",",O
31,demonetisation,O
31,as,O
31,the,O
31,issues,O
31,that,O
31,were,O
31,discussed,O
31,.,O
32,During,O
32,the,O
32,meeting,O
32,",",O
32,Thackeray,PERSON
32,reportedly,O
32,highlighted,O
32,his,O
32,partys,O
32,protests,O
32,against,O
32,the,O
32,BJP,ORGANIZATION
32,government,O
32,in,O
32,Maharashtra,LOCATION
32,.,O
33,The,O
33,aide,O
33,said,O
33,Mamata,PERSON
33,was,O
33,the,O
33,first,O
33,leader,O
33,in,O
33,the,O
33,country,O
33,to,O
33,protest,O
33,against,O
33,economic,O
33,reforms,O
33,of,O
33,the,O
33,Centre,O
33,by,O
33,tweeting,O
33,against,O
33,demonetisation,O
33,and,O
33,GST,O
33,.,O
34,The,O
34,Shiv,ORGANIZATION
34,Sena,ORGANIZATION
34,and,O
34,TMC,ORGANIZATION
34,",",O
34,despite,O
34,huge,O
34,ideological,O
34,differences,O
34,",",O
34,have,O
34,resumed,O
34,a,O
34,dialogue,O
34,as,O
34,they,O
34,perceive,O
34,the,O
34,BJP,ORGANIZATION
34,to,O
34,be,O
34,their,O
34,main,O
34,political,O
34,rival,O
34,in,O
34,the,O
34,2019,O
34,elections,O
34,",",O
34,a,O
34,source,O
34,in,O
34,Bengal,LOCATION
34,said,O
34,.,O
35,The,O
35,TMC,ORGANIZATION
35,is,O
35,alarmed,O
35,at,O
35,the,O
35,BJPs,O
35,attempts,O
35,to,O
35,make,O
35,inroads,O
35,in,O
35,West,LOCATION
35,Bengal,LOCATION
35,.,O
36,The,O
36,resignation,O
36,of,O
36,Trinamool,ORGANIZATION
36,Congress,ORGANIZATION
36,(,O
36,MP,O
36,),O
36,Mukul,PERSON
36,Roy,PERSON
36,is,O
36,perceived,O
36,as,O
36,a,O
36,handiwork,O
36,of,O
36,the,O
36,BJP,ORGANIZATION
36,",",O
36,a,O
36,political,O
36,observer,O
36,said,O
36,.,O
37,In,O
37,Maharashtra,LOCATION
37,",",O
37,on,O
37,the,O
37,other,O
37,hand,O
37,",",O
37,the,O
37,Sena,ORGANIZATION
37,fears,O
37,that,O
37,the,O
37,BJP,ORGANIZATION
37,",",O
37,by,O
37,allowing,O
37,Narayan,ORGANIZATION
37,Ranes,ORGANIZATION
37,Maharashtra,ORGANIZATION
37,Swabhimani,ORGANIZATION
37,Party,ORGANIZATION
37,to,O
37,join,O
37,the,O
37,NDA,ORGANIZATION
37,",",O
37,has,O
37,compounded,O
37,their,O
37,problems,O
37,in,O
37,Konkan,LOCATION
37,region,O
37,.,O
38,A,O
38,source,O
38,in,O
38,Trinamool,ORGANIZATION
38,said,O
38,",",O
38,In,O
38,politics,O
38,",",O
38,the,O
38,enemys,O
38,enemy,O
38,is,O
38,a,O
38,friend,O
38,.,O
39,Sena,ORGANIZATION
39,and,O
39,Trinamool,ORGANIZATION
39,talks,O
39,should,O
39,be,O
39,perceived,O
39,in,O
39,that,O
39,context,O
39,.,O
40,Mamata,PERSON
40,is,O
40,emerging,O
40,as,O
40,the,O
40,leader,O
40,of,O
40,the,O
40,regional,O
40,forces,O
40,who,O
40,are,O
40,not,O
40,very,O
40,happy,O
40,with,O
40,the,O
40,BJP,ORGANIZATION
40,.,O
41,However,O
41,",",O
41,Trinamool,ORGANIZATION
41,leaders,O
41,also,O
41,have,O
41,concerns,O
41,about,O
41,the,O
41,Sena,ORGANIZATION
41,.,O
42,A,O
42,second,O
42,rung,O
42,leader,O
42,said,O
42,",",O
42,You,O
42,can,O
42,not,O
42,fight,O
42,a,O
42,battle,O
42,against,O
42,the,O
42,BJP,ORGANIZATION
42,when,O
42,you,O
42,are,O
42,enjoying,O
42,power,O
42,with,O
42,them,O
42,in,O
42,Centre,O
42,(,O
42,NDA,ORGANIZATION
42,),O
42,and,O
42,Maharashtra,LOCATION
42,.,O
43,Trinamool,ORGANIZATION
43,Congress,ORGANIZATION
43,will,O
43,have,O
43,to,O
43,face,O
43,uncomfortable,O
43,questions,O
43,.,O
44,Second,O
44,",",O
44,the,O
44,Senas,O
44,anti,O
44,minorities,O
44,politics,O
44,",",O
44,.,O
45,specially,O
45,their,O
45,drive,O
45,against,O
45,Bangladeshis,O
45,",",O
45,also,O
45,has,O
45,Trinamool,ORGANIZATION
45,leaders,O
45,worried,O
45,.,O
46,A,O
46,senior,O
46,Trinamool,ORGANIZATION
46,functionary,O
46,said,O
46,:,O
46,In,O
46,West,LOCATION
46,Bengal,LOCATION
46,",",O
46,we,O
46,have,O
46,a,O
46,sizeable,O
46,minority,O
46,population,O
46,",",O
46,which,O
46,will,O
46,never,O
46,not,O
46,accept,O
46,the,O
46,Sena,ORGANIZATION
46,style,O
46,of,O
46,politics,O
46,.,O
47,However,O
47,",",O
47,a,O
47,Sena,ORGANIZATION
47,leader,O
47,said,O
47,",",O
47,Sena,ORGANIZATION
47,and,O
47,Trinamool,ORGANIZATION
47,are,O
47,not,O
47,working,O
47,to,O
47,strike,O
47,an,O
47,electoral,O
47,alliance,O
47,.,O
48,Sena,ORGANIZATION
48,has,O
48,no,O
48,base,O
48,in,O
48,Bengal,LOCATION
48,nor,O
48,Trinamool,ORGANIZATION
48,in,O
48,Maharashtra,LOCATION
48,.,O
49,Their,O
49,bonding,O
49,is,O
49,confined,O
49,to,O
49,anti,O
49,Modi,PERSON
49,policies,O
49,and,O
49,politics,O
49,.,O
50,Hindu,ORGANIZATION
50,Yuva,ORGANIZATION
50,Vahini,ORGANIZATION
50,activists,O
50,protest,O
50,against,O
50,RaGa,O
50,RSS,ORGANIZATION
50,remarks,O
50,on,O
50,women,O
50,.,O
51,SURAT,LOCATION
51,:,O
51,Hindu,ORGANIZATION
51,Yuva,ORGANIZATION
51,Vahini,ORGANIZATION
51,members,O
51,made,O
51,posters,O
51,of,O
51,Congress,ORGANIZATION
51,president,O
51,Sonia,PERSON
51,Gandhi,PERSON
51,and,O
51,vice,O
51,president,O
51,Rahul,PERSON
51,Gandhi,PERSON
51,which,O
51,showed,O
51,them,O
51,in,O
51,shorts,O
51,and,O
51,also,O
51,staged,O
51,a,O
51,protest,O
51,in,O
51,Udhna,LOCATION
51,area,O
51,of,O
51,the,O
51,city,O
51,on,O
51,Thursday,O
51,evening,O
51,.,O
52,They,O
52,sent,O
52,these,O
52,posters,O
52,to,O
52,Rahul,PERSON
52,address,O
52,in,O
52,New,LOCATION
52,Delhi,LOCATION
52,.,O
53,They,O
53,were,O
53,protesting,O
53,against,O
53,Rahul,PERSON
53,comment,O
53,on,O
53,women,O
53,in,O
53,RSS,ORGANIZATION
53,.,O
54,Hindu,ORGANIZATION
54,Yuva,ORGANIZATION
54,Vahini,ORGANIZATION
54,state,O
54,unit,O
54,president,O
54,Narendra,PERSON
54,Chaudhary,PERSON
54,said,O
54,",",O
54,We,O
54,want,O
54,to,O
54,open,O
54,the,O
54,eyes,O
54,of,O
54,Rahul,PERSON
54,.,O
55,Why,O
55,is,O
55,he,O
55,so,O
55,keen,O
55,to,O
55,see,O
55,women,O
55,in,O
55,shorts,O
55,?,O
56,We,O
56,have,O
56,sent,O
56,him,O
56,some,O
56,posters,O
56,by,O
56,couriers,O
56,so,O
56,that,O
56,he,O
56,can,O
56,have,O
56,a,O
56,good,O
56,look,O
56,at,O
56,them,O
56,.,O
57,Hindu,ORGANIZATION
57,Yuva,ORGANIZATION
57,Vahini,ORGANIZATION
57,was,O
57,founded,O
57,by,O
57,Yogi,PERSON
57,Adityanath,PERSON
57,",",O
57,who,O
57,is,O
57,now,O
57,the,O
57,chief,O
57,minister,O
57,of,O
57,Uttar,LOCATION
57,Pradesh,LOCATION
57,.,O
58,Yogi,PERSON
58,Adityanath,PERSON
58,is,O
58,expected,O
58,to,O
58,visit,O
58,Valsad,LOCATION
58,",",O
58,Navsari,LOCATION
58,and,O
58,Surat,LOCATION
58,districts,O
58,on,O
58,Friday,O
58,.,O
59,He,O
59,would,O
59,be,O
59,addressing,O
59,a,O
59,public,O
59,meeting,O
59,at,O
59,Sachin,LOCATION
59,in,O
59,Surat,LOCATION
59,district,O
59,.,O
60,RSS,ORGANIZATION
60,leader,O
60,Ravinder,PERSON
60,Gosain,PERSON
60,shot,O
60,dead,O
60,in,O
60,Ludhiana,LOCATION
60,.,O
61,LUDHIANA,LOCATION
61,:,O
61,A,O
61,Ludhiana,LOCATION
61,based,O
61,RSS,ORGANIZATION
61,leader,O
61,Ravinder,PERSON
61,Gosain,PERSON
61,(,O
61,60,O
61,),O
61,was,O
61,shot,O
61,dead,O
61,outside,O
61,his,O
61,house,O
61,in,O
61,Gagandeep,LOCATION
61,Colony,LOCATION
61,of,O
61,Jodhewal,LOCATION
61,area,O
61,on,O
61,Tuesday,O
61,morning,O
61,.,O
62,The,O
62,leader,O
62,was,O
62,pumped,O
62,two,O
62,bullets,O
62,by,O
62,motorcycle,O
62,borne,O
62,two,O
62,masked,O
62,assailants,O
62,",",O
62,in,O
62,head,O
62,and,O
62,back,O
62,and,O
62,he,O
62,died,O
62,on,O
62,spot,O
62,.,O
63,The,O
63,deceased,O
63,was,O
63,the,O
63,head,O
63,of,O
63,Mohan,O
63,Shikha,O
63,located,O
63,in,O
63,Amantran,LOCATION
63,colony,O
63,of,O
63,Jodhewal,LOCATION
63,.,O
64,On,O
64,Tuesday,O
64,Gosain,PERSON
64,returned,O
64,from,O
64,Shakha,O
64,around,O
64,7am,O
64,and,O
64,was,O
64,sitting,O
64,outside,O
64,his,O
64,house,O
64,with,O
64,two,O
64,grandchildren,O
64,when,O
64,he,O
64,was,O
64,gunned,O
64,down,O
64,.,O
65,The,O
65,CCTV,O
65,installed,O
65,near,O
65,the,O
65,location,O
65,has,O
65,captured,O
65,the,O
65,assailants,O
65,roaming,O
65,around,O
65,the,O
65,area,O
65,since,O
65,6:30am,O
65,.,O
66,They,O
66,have,O
66,also,O
66,been,O
66,captured,O
66,fleeing,O
66,after,O
66,the,O
66,incident,O
66,in,O
66,another,O
66,CCTV,O
66,.,O
67,The,O
67,assailants,O
67,were,O
67,on,O
67,Honda,O
67,Stunner,O
67,bike,O
67,of,O
67,black,O
67,yellow,O
67,color,O
67,.,O
68,Bike,O
68,borne,O
68,miscreants,O
68,captured,O
68,in,O
68,CCTV,O
68,.,O
69,Gosain,PERSON
69,was,O
69,associated,O
69,with,O
69,RSS,ORGANIZATION
69,since,O
69,childhood,O
69,and,O
69,was,O
69,an,O
69,active,O
69,member,O
69,of,O
69,Shakha,O
69,.,O
70,The,O
70,zonal,O
70,General,O
70,Secretary,O
70,RSS,ORGANIZATION
70,",",O
70,Yash,PERSON
70,Giri,PERSON
70,said,O
70,",",O
70,``,O
70,This,O
70,is,O
70,the,O
70,failure,O
70,of,O
70,police,O
70,administration,O
70,as,O
70,earlier,O
70,also,O
70,the,O
70,police,O
70,have,O
70,been,O
70,failed,O
70,to,O
70,cracker,O
70,previous,O
70,cases,O
70,of,O
70,attacks,O
70,on,O
70,religious,O
70,leaders,O
70,.,O
71,``,O
71,He,O
71,added,O
71,",",O
71,``,O
71,I,O
71,have,O
71,received,O
71,a,O
71,call,O
71,from,O
71,the,O
71,Finance,O
71,minister,O
71,Arun,PERSON
71,Jaitley,PERSON
71,and,O
71,he,O
71,asked,O
71,about,O
71,the,O
71,incident,O
71,.,O
72,All,O
72,senior,O
72,leaders,O
72,are,O
72,in,O
72,touch,O
72,with,O
72,us,O
72,.,O
73,``,O
73,The,O
73,district,O
73,president,O
73,of,O
73,BJP,ORGANIZATION
73,",",O
73,Ravinder,PERSON
73,Arora,PERSON
73,said,O
73,",",O
73,``,O
73,To,O
73,agitate,O
73,against,O
73,the,O
73,failure,O
73,of,O
73,police,O
73,the,O
73,RSS,ORGANIZATION
73,and,O
73,BJP,ORGANIZATION
73,leaders,O
73,will,O
73,protest,O
73,outside,O
73,the,O
73,office,O
73,of,O
73,Commissioner,O
73,of,O
73,police,O
73,",",O
73,after,O
73,cremation,O
73,.,O
74,``,O
74,The,O
74,Commissioner,O
74,of,O
74,police,O
74,",",O
74,RN,PERSON
74,Dhoke,PERSON
74,said,O
74,",",O
74,``,O
74,The,O
74,police,O
74,are,O
74,exploring,O
74,all,O
74,angles,O
74,in,O
74,the,O
74,case,O
74,.,O
75,``,O
75,The,O
75,Ludhiana,LOCATION
75,police,O
75,have,O
75,also,O
75,released,O
75,the,O
75,pictures,O
75,of,O
75,suspects,O
75,",",O
75,captured,O
75,in,O
75,CCTVs,O
75,",",O
75,on,O
75,social,O
75,media,O
75,with,O
75,contact,O
75,numbers,O
75,.,O
76,The,O
76,kin,O
76,of,O
76,deceased,O
76,are,O
76,clueless,O
76,about,O
76,the,O
76,reason,O
76,behind,O
76,the,O
76,killing,O
76,as,O
76,according,O
76,to,O
76,them,O
76,Ravinder,PERSON
76,Gosain,PERSON
76,had,O
76,never,O
76,received,O
76,any,O
76,threat,O
76,.,O
77,Govt,O
77,blinks,O
77,but,O
77,Asha,O
77,workers,O
77,to,O
77,continue,O
77,stir,O
77,Vadodara,LOCATION
77,:,O
77,Gujarat,LOCATION
77,government,O
77,announcement,O
77,of,O
77,increasing,O
77,salaries,O
77,of,O
77,Asha,O
77,(,O
77,Accredited,O
77,Social,O
77,Health,O
77,Activist,O
77,),O
77,workers,O
77,by,O
77,50,O
77,%,O
77,on,O
77,Tuesday,O
77,came,O
77,after,O
77,over,O
77,a,O
77,month,O
77,long,O
77,agitation,O
77,launched,O
77,by,O
77,the,O
77,health,O
77,workers,O
77,across,O
77,the,O
77,state,O
77,.,O
78,During,O
78,the,O
78,course,O
78,of,O
78,this,O
78,agitation,O
78,which,O
78,included,O
78,indefinite,O
78,hunger,O
78,strike,O
78,",",O
78,the,O
78,agitated,O
78,health,O
78,workers,O
78,have,O
78,not,O
78,only,O
78,gheraoed,O
78,BJP,ORGANIZATION
78,MLAs,O
78,in,O
78,Vadodara,LOCATION
78,but,O
78,also,O
78,stormed,O
78,BJP,ORGANIZATION
78,office,O
78,in,O
78,the,O
78,city,O
78,and,O
78,allgedly,O
78,threw,O
78,bangles,O
78,on,O
78,Prime,O
78,Minister,O
78,Narendra,PERSON
78,Modi,PERSON
78,cavalcade,O
78,when,O
78,he,O
78,was,O
78,conducting,O
78,a,O
78,roadshow,O
78,near,O
78,VUDA,LOCATION
78,circle,LOCATION
78,in,O
78,Vadodara,LOCATION
78,on,O
78,Sunday,O
78,(,O
78,October,O
78,22,O
78,),O
78,evening,O
78,.,O
79,But,O
79,the,O
79,Contract,O
79,and,O
79,Fixed,O
79,Salary,O
79,Struggles,O
79,Committee,O
79,which,O
79,has,O
79,launched,O
79,the,O
79,state,O
79,wide,O
79,agitation,O
79,demanding,O
79,equal,O
79,pay,O
79,and,O
79,equal,O
79,rights,O
79,for,O
79,Asha,O
79,workers,O
79,and,O
79,facilitators,O
79,has,O
79,termed,O
79,the,O
79,state,O
79,government,O
79,announcement,O
79,as,O
79,merely,O
79,a,O
79,gimmick,O
79,and,O
79,an,O
79,attempt,O
79,to,O
79,misguide,O
79,and,O
79,weaken,O
79,their,O
79,agitation,O
79,in,O
79,the,O
79,poll,O
79,bound,O
79,state,O
79,.,O
80,According,O
80,to,O
80,the,O
80,committee,O
80,office,O
80,bearers,O
80,",",O
80,there,O
80,are,O
80,currently,O
80,"45,000",O
80,health,O
80,workers,O
80,in,O
80,the,O
80,state,O
80,who,O
80,are,O
80,responsible,O
80,for,O
80,conducting,O
80,all,O
80,the,O
80,health,O
80,drives,O
80,in,O
80,the,O
80,state,O
80,.,O
81,Each,O
81,health,O
81,worker,O
81,on,O
81,contract,O
81,presently,O
81,gets,O
81,Rs,O
81,"1,000",O
81,as,O
81,salary,O
81,every,O
81,month,O
81,.,O
82,We,O
82,still,O
82,dont,O
82,know,O
82,the,O
82,exact,O
82,amount,O
82,which,O
82,we,O
82,will,O
82,get,O
82,after,O
82,50,O
82,%,O
82,hike,O
82,announced,O
82,by,O
82,the,O
82,state,O
82,government,O
82,on,O
82,Tuesday,O
82,.,O
83,But,O
83,even,O
83,if,O
83,our,O
83,salaries,O
83,are,O
83,hiked,O
83,to,O
83,Rs,O
83,"2,000",O
83,per,O
83,month,O
83,",",O
83,the,O
83,health,O
83,workers,O
83,will,O
83,continue,O
83,to,O
83,get,O
83,only,O
83,partial,O
83,payments,O
83,",",O
83,said,O
83,Chandrika,PERSON
83,Solanki,PERSON
83,",",O
83,president,O
83,of,O
83,the,O
83,women,O
83,wing,O
83,of,O
83,the,O
83,committee,O
83,.,O
84,From,O
84,Rs,O
84,"1,000",O
84,per,O
84,month,O
84,",",O
84,the,O
84,government,O
84,cuts,O
84,Rs,O
84,200,O
84,if,O
84,a,O
84,Asha,O
84,worker,O
84,fails,O
84,to,O
84,attend,O
84,Mamta,O
84,Divas,O
84,",",O
84,Rs,O
84,150,O
84,if,O
84,she,O
84,does,O
84,not,O
84,meet,O
84,medical,O
84,officer,O
84,",",O
84,Rs,O
84,150,O
84,if,O
84,she,O
84,does,O
84,not,O
84,attend,O
84,gram,O
84,sanjivani,O
84,programme,O
84,and,O
84,Rs,O
84,100,O
84,if,O
84,the,O
84,Asha,O
84,worker,O
84,fails,O
84,to,O
84,share,O
84,information,O
84,with,O
84,higher,O
84,ups,O
84,in,O
84,the,O
84,health,O
84,department,O
84,",",O
84,she,O
84,said,O
84,.,O
85,We,O
85,had,O
85,demanded,O
85,that,O
85,all,O
85,the,O
85,health,O
85,workers,O
85,should,O
85,get,O
85,minimum,O
85,Rs,O
85,"5,000",O
85,to,O
85,Rs,O
85,"6,000",O
85,as,O
85,fixed,O
85,salary,O
85,every,O
85,month,O
85,apart,O
85,from,O
85,incentives,O
85,for,O
85,conducting,O
85,or,O
85,taking,O
85,part,O
85,in,O
85,health,O
85,drives,O
85,and,O
85,surveys,O
85,",",O
85,she,O
85,said,O
85,.,O
86,The,O
86,committee,O
86,has,O
86,decided,O
86,to,O
86,continue,O
86,its,O
86,agitation,O
86,to,O
86,press,O
86,for,O
86,its,O
86,demand,O
86,including,O
86,fixed,O
86,maternity,O
86,leaves,O
86,",",O
86,health,O
86,insurance,O
86,coverage,O
86,and,O
86,sick,O
86,leaves,O
86,",",O
86,accidental,O
86,insurance,O
86,",",O
86,fixed,O
86,working,O
86,hours,O
86,and,O
86,identity,O
86,cards,O
86,the,O
86,benefits,O
86,which,O
86,are,O
86,provided,O
86,to,O
86,permanent,O
86,workers,O
86,.,O
87,Our,O
87,health,O
87,workers,O
87,are,O
87,exposed,O
87,to,O
87,unhygienic,O
87,working,O
87,conditions,O
87,and,O
87,are,O
87,expected,O
87,to,O
87,carry,O
87,out,O
87,malaria,O
87,",",O
87,swine,O
87,flu,O
87,and,O
87,TB,O
87,surveys,O
87,.,O
88,But,O
88,there,O
88,is,O
88,no,O
88,health,O
88,protection,O
88,that,O
88,they,O
88,themselves,O
88,receive,O
88,",",O
88,she,O
88,said,O
88,.,O
89,Ironically,O
89,",",O
89,while,O
89,the,O
89,state,O
89,government,O
89,announced,O
89,that,O
89,the,O
89,salaries,O
89,of,O
89,Asha,O
89,workers,O
89,will,O
89,be,O
89,hiked,O
89,",",O
89,around,O
89,100,O
89,Asha,O
89,workers,O
89,in,O
89,Vadodara,LOCATION
89,were,O
89,detained,O
89,by,O
89,the,O
89,cops,O
89,and,O
89,kept,O
89,in,O
89,confinement,O
89,at,O
89,police,O
89,community,O
89,hall,O
89,at,O
89,Hazirabaug,LOCATION
89,and,O
89,crime,O
89,branch,O
89,office,O
89,at,O
