Document_Number,Content,date
11,"Non-teaching staff of MSU to go on hunger strike. VADODARA: A non-teaching staff union of M S University has threatened to stage hunger strike at the university campus on Monday. The Gujarat Rajya Pachhatwarg-Baxipunch Karmachari Mandal has said that temporary staffers will sit on a hunger strike protest at the university campus to press for their long pending demands. “We have time and again made representations before MSU vice-chancellor Parimal Vyas and in-charge registrar Dr Neerja Jaiswal to resolve the long pending demands of temporary staffers. But neither the state government nor the university authorities have resolved our problems. Hence, we have decided to go on hunger strike,” said mandal’s president Thakore Solanki. He added that several representations have been made in the past to make temporary staffers permanent in the university system. “There are 600 staffers who are suffering because the issue has not been resolved,” he said.",8/1/2017
12,"Jallikattu ban: Police lathicharge, detain 30 protestors in Madurai NEW DELHI: At least 30 supporters of Jallikattu were on Saturday taken into preventive custody in Tamil Nadu's Madurai district for allegedly trying to defy a ban on the controversial bull-taming sport played during Pongal festival.According to the ANI report, the state police first lathicharged protestors who have been agitating against the ban in the Madurai's Avaniapuram area.Heavy police force was deployed since yesterday in Avaniapuram, Palamedu and Alanganallur, famous locations for jallikattu in Madurai District, as various organisations vowed to violate the ban and organise the sport. Tamil Nadu: Police lathi charge protesters in Avanivapuram(Madurai). 30 people detained  #jallikattupic.twitter.com/wtPgXNM1NM— ANI (@ANI_news)  January 14, 2017On Thursday, the Supreme Court had said it could not give its verdict on Jallikattu before Pongal even as political parties cutting across party lines had demanded from the Centre promulgation of an ordinance to allow the sport.Yesterday, in Karisalkulam village near Madurai, the sport was held in an open ground for a few minutes.In a symbolic protest, around five bulls were let into the ground by a group of youths, police had said, adding no arrests were made.DMK Working President M K Stalin had led a protest in Chennai yesterday in this regard as he targeted Prime Minister Narendra Modi for allegedly not giving time for AIADMK MPs to discuss the Jallikattu issue.On Friday, some Jallikattu supporters briefly picketed locale of the shooting of Tamil film ""Garjanai"", starring Trisha, in Sivaganga district, angered by the actor's pro-PETA stand.However, Trisha, a known animal lover who has featured in PETA's advertisement for adopting homeless dogs, was not present there at that time.Police said all preventive steps have been taken to ensure maintenance of law and order and compliance of court's ban.",14/1/17
13,"Punjab farmers to protest outside Parliament on March 30 PUNJAB FARMERS, under the banner of Bharti Kissan Union Ekta (Dakaunda), Azaad Kissan Sangharsh Committee and Krantikari Kissan Union, Punjab, will hold a protest march outside Parliament in New Delhi on March 30 to expose the anti-farmer policies of the Union government. They said a large number of womenfolk would also take part.The farmers organisations have been demanding that all kinds of moneylenders, commission agents, cooperative and bank loans and debts should be waived and the Swaminathan Committee report should be implemented in toto for suitable remuneration of all crops. Crops like Basmati rice, potatoes, vegetables and fruits should also be included in the Price Commissions purview for fixing of rates and the government should ensure their procurement through state agencies.This protest would draw the attention of all strata of masses, while Parliament is in progress and the farmers unions would not allow police to prevent them from holding protest.BKU Ekta (Dakaunda) state president Buta Singh Burjgill, state general secretary Jagmohan Singh Patiala and senior vice-president Manjeet Singh Dhaner have confirmed that they have organised meetings and rallies at most of the villages in Patiala, Barnala, Sangrur, Bathinda, Fatehgarh Sahib, Faridkot, Ludhiana and Ferozepur and the cotton belt of Malwa.The farmers are disappointed over the import of those grain that the country already has sufficient stocks of and will force the government to shun the import of those commodities, where the scope of bumper production lies in India, said Jagmohan.",27/3/17
14,"GNIDA collects details from Czar project; to submit in court on February 8 GREATER NOIDA: A day after Allahabad high court stayed the allotment of flats in Supertech Czar Suites project in Greater Noida, the Greater Noida Industrial Development Authority (GNIDA) mobilized teams of officials to gather details of the project. GNIDA officials on Thursday visited the project to obtain measurements of the actual land area used for the project. Allahabad high court has asked GNIDA to furnish details of the housing project on February 8 hearing.According to GNIDA officials, measures for setback area, parking spaces, built-up area and residential unit size in the society located in Omicron-I was also taken. ""I have asked my officials from the architect and planning department to collect all information,"" said Deepak Agarwal, chief executive officer (CEO), GNIDA. ""I have also directed officials to collect physical details of number of units the builder has built on the project. How many were sanctioned and allowed by GNIDA. How many have been constructed without permission, their area and numbers will also be recorded,"" he said. ""If we find any discrepancies in the allowed units and those constructed, we will take the appropriate action,"" he added.Agarwal further told TOI that they had not yet received the AHC order in the case. ""We are awaiting the official court order copy. Once we receive it, we will comply with the court’s directions. Our action taken report along with our detailed findings about the project will be filed in our reply during the next court hearing, which is on February 8, 2017,"" he explained. The court had on Wednesday directed GNIDA not to issue completion certificates for the project and take appropriate action in accordance with the law against the builder. It also directed GNIDA to ensure one of its officers was present in court during the next hearing to assist the judges with facts of the case.Czar is located in Sector Omicron 1 of Greater Noida and built across 20 acres that Supertech group was allotted in 2006. Around 450 families live in the society. Home buyers in the project had approached the judiciary when they did not get reprieve from GNIDA regarding their protest that the builder had built over 1,000 residential units in violation of sanctioned building plans.",12/1/2017
15,"Students at IIT B support agitation against Jallikattu ban  A group of students of the Indian Institute of Technology, Bombay, have extended their support to protests in Tamil Nadu against the ban on Jallikattu, a sport in which bulls participate.Three days after the youth gathered at Chennais Marina beach in support of Jallikattu, around 50 IIT B students came together Thursday to hold a silent protest within campus to show their support.They circulated pamphlets which claimed that Jallikattu was a sport in Tamil Nadu that had been misconceptualised as bull taming.",19/11/17
16,"Punjab AAP MLA burns crops as Kejriwal rues pollution efforts  NEW DELHI: While Delhi Chief Minister Arvind Kejriwal is concerned about the severe air pollution in the capital, an AAP MLA from Punjab was caught burning crops.Sukhpal Khaira is the leader of the opposition in Punjab Assembly and apparently he burnt the crops to support the farmers in the region.According to Times Now, Sukhpal Khaira started a protest in Samrala, Ludhiana on October 15 and burnt paddy stubble to protest against government s decision to book farmers for burning crops.The protest was against the Congress government in Punjab, which issued guidelines to file FIRs against the farmersa who engage in crop burning.Khaira said the Punjab government should provide tools and machinery on rent to dispose of the stubble.The whole incident came as a shock as AAP government is trying to control the hazardous air pollution in Delhi.",9/11/2017
17,"Uttar Pradesh BJP manifesto bundle of lies: SP, BSP, Congress  TERMING BJPs election manifesto a ploy to fool people, BSP chief Mayawati said on Saturday that the BJP government at the Centre has not fulfilled even one fourth of the promises it had made in the run up to the 2014 Lok Sabha polls.",28/1/17
18,"14 people burst crackers outside SC, detained. ""Fourteen people, including three women, were detained for bursting firecrackers outside the Supreme Court to protest the temporary ban on the sale of firecrackers. They were taken to Tilak Marg police station, from where they were released within 30 minutes.DCP (New Delhi district) B K Singh said they received a call at around 4.45 pm that some people were protesting outside D gate of the Supreme Court and bursting crackers. After receiving the PCR call, police immediately rushed to the spot and detained the protesters. The members, who claimed to be from an outfit named Azad Hind Fauj, burst firecrackers outside the apex court. As many as 14 persons, including three women, were detained under Sections 65 Delhi Police Act and taken to Tilak Marg police station, he added.After questioning, police came to know that the demonstrators were led by one Satpal Malhotra (55), who came from northwest Delhis Gagan Vihar area in their cars and were protesting against the Supreme Courts order.Two arrested in Gurgaon for selling crackersTwo persons were arrested Tuesday and a shop was sealed for selling firecrackers in Gurgaon. Police said the two men arrested have been identified as Guddu and Sonu, both residents of Uttar Pradesh and were selling crackers in Sector 9A. Information was received that the two were selling crackers by the roadside. They were arrested from the spot, said Ravinder Kumar, RO, Gurgaon Police.A few hours later, a shop in Gadoli village was sealed and 39 boxes of crackers were seized, Kumar added.",17/10/17
19,"Pakistan protests press government over disappearance of activists  Human rights activists in Pakistan on Tuesday rallied to protest the disappearance of four activists over the past one week and asked the government to take measures to locate them.Leftist liberals accuse that security agencies or militants might be behind the forced disappearances though nobody has claimed responsibility for the abduction. Protest rallies were held in Islamabad, Karachi and Lahore, where journalists, civil society supporters and rights activists demanded urgent measures to find the four missing activists.The missing activist include Salman Haider, a poet and university professor, who disappeared on Friday here.",10/1/2017
20,"Rahul Gandhi-Akhilesh Yadav road show in Varanasi on March 4 VARANASI: The joint road show of UP chief minister and SP president Akhilesh Yadav and Congress vice-president Rahul Gandhi will be held in the parliamentary constituency of Prime Minister Narendra Modi on March 4. The road show, earlier scheduled for February 11, was postponed to February 27 and then cancelled.According to the CM’s itinerary available with the district administration, he will take part in the road show in Varanasi on March 4. Before attending the road show, he will address election meetings at Keshavpur in Bhadohi district and Munari in Varanasi district in favour of SP candidates contesting from Bhadohi, Aurai, Gyanpur, Ajagra and Shivpur constituencies in the two districts. After the public meetings, he will move to Varanasi police lines to take part in the road show.UPCC spokesperson Satish Rai said the preparations are on for the road show which will cover a distance of 15km from Police Lines to Lanka. About three dozen welcome booths will be made at different places on the entire route. Rahul will arriving in the city on March 2 to address a public meeting at Pindra Bazar in favour of Congress candidate from Pindra Assembly constituency Ajay Rai. According to Rahul’s official schedule, he will also address public meetings at Maharajganj and Gorakhpur on the same day.",28/2/17
21,"Nature lovers ‘mourn’ banyan deaths Vadodara: On Sunday morning, a group of citizens gathered at Yavteshwar Temple compound on the Jail Road for a condolence meet. But it was not for some person known to them. The group was rather mourning chopping down of decades-old banyan trees, which has given Vadodara its name and a distinct identity. A huge banyan tree located in Maharani Shantadevi compound owned by the royal Gaekwad family was chopped a couple of weeks ago to make way for a proposed shopping mall. Another grand banyan tree located opposite the railway station was pulled down as the civic body is planning to build an integrated transport terminal there. “We are not against any development projects. But there has to be a balance. Maintaining greenery and conserving environment in the city should also be a part of Smart City project. The two trees that were chopped were a part of our bio-diversity for decades,” said Milind Gadre, member of the Nature Walk group that had organized the event. The two banyan trees were a home of large number of bird and insect species too and the nature lovers had tried their level best to see that they are not chopped.“We tried hard to save them from being chopped by writing to all the authorities including the Prime Minister Office (PMO). However, everything was in vain,” Gadre told TOI. The Vadodara Municipal Corporation (VMC) had earlier promised to transplant the old trees that had to be cut for development projects. “One of these chopped banyan trees has been replanted by VMC in Sama but it not being watered regularly,” said Arun Majmudar, another member of the group, who visited the spot. Members of the group offered flowers to the photographs of these trees and observed two minutes of silence. Later saplings of banyan and peepul tree were planted in the Yavteshwar Temple compound by the members. “Development can happen without chopping such old trees that are like the lungs of our city. This was our way of protesting against cutting of trees,” said Jitendra Gavli, director of Community Science Centre and member of Nature Walk group. This group had held signature campaign and even met VMC officials to save the banyan tree in Maharani Shantadevi Hospital compound. No tree census in five yearsThe city last saw its first tree census in 2012 done jointly by the VMC and forest department. The survey done in 25 wards of VMC revealed that the city had 7,47,193 trees spread over the area of 16,261 hectares. The city had 46 trees per hectare that was way above Gujarat’s average of 14 trees per hectare. “There has been no extensive tree census for the entire city since then,” said Arun Majmudar, member of the Nature Group. Times View:Taking up new development projects as a part of the Smart City initiative is essential but this shouldn’t be done at the cost of city’s green cover. Vadodara essentially derived its name from ‘Vad’ (banyan) but these trees are fast disappearing from the city’s landscape. The civic body has to make efforts to not just save the existing trees but also plant new ones",15/12/17
22,"Terror mastermind Hafiz Saeed to fight elections in Pakistan next year  ISLAMABAD NEW DELHI: The mastermind of 2008 Mumbai terror attacks, Lashkar e Taiba chief Hafiz Saeed, announced that he would contest Pakistan s general elections in 2018.Leading Pakistani newspapers including The News reported on Saturday that Saeed had announced his decision to contest the elections to the Pakistan national assembly at a press conference in Lahore.Saeed, who has a $10 million bounty on him by the US state department since 2012 for his role in acts of terror, was set free last week after the Pakistan government decided against his home detention.Earlier this year, the Milli Muslim League (MML), the political party formed by JuD, had   signalled its intention to contest the general elections  + next year.",2/12/2017
23,"MNS workers agitate against north Indian fish-sellers in�Thane Maharashtra Navnirman Sena (MNS) workers on Friday staged protest against north Indian fish-sellers in several parts of the city, alleging that they were eating into native fish-sellers business. Avinash Jadhav, Thane district chief of the Raj Thackeray-led party, said the agitation was carried out in Kopri, Uthalsar, Wagle Estate and Kalwa, among other places.Jadhav said the fisherfolk in the city, especially women and the younger generation of sellers, had been complaining that they were being driven out of business by north Indian sellers. As a last resort we had to carry out this agitation, the MNS leader said.The party had recently launched an agitation against illegal hawkers on railway station premises in Mumbai and surrounding areas following the Elphinstone Road station stampede.It had also asked banks to conduct their transactions in Marathi alongwith other languages. The latest campaigns of the party are being seen as an attempt to revive its fortunes following several electoral setbacks.",24/11/17
