Sentence,Word,POS,NER
5,Cardiological,NNP,ORGANIZATION
5,Society,NNP,ORGANIZATION
5,of,IN,ORGANIZATION
5,India,NNP,ORGANIZATION
5,that,WDT,O
5,meets,VBZ,O
5,and,CC,O
5,discusses,VBZ,O
5,advances,NNS,O
5,in,IN,O
5,cardiac,JJ,O
5,medicines,NNS,O
5,and,CC,O
5,procedures,NNS,O
5,every,DT,O
5,year,NN,O
5,.,.,O
6,Conducted,VBN,O
6,by,IN,O
6,Deb,NNP,PERSON
6,Datta,NNP,PERSON
6,Bhattacharya,NNP,PERSON
6,",",",",O
6,consultant,NN,O
6,cardiologist,NN,O
6,at,IN,O
6,RTIICS,NNP,O
6,",",",",O
6,the,DT,O
6,surgery,NN,O
6,lasted,VBD,O
6,just,RB,O
6,over,IN,O
6,an,DT,O
6,hour,NN,O
6,.,.,O
7,In,IN,O
7,its,PRP$,O
7,course,NN,O
7,",",",",O
7,Bhattacharya,NNP,PERSON
7,had,VBD,O
7,to,TO,O
7,answer,VB,O
7,a,DT,O
7,range,NN,O
7,of,IN,O
7,questions,NNS,O
7,from,IN,O
7,the,DT,O
7,stent,NN,O
7,he,PRP,O
7,was,VBD,O
7,using,VBG,O
7,and,CC,O
7,why,WRB,O
7,he,PRP,O
7,opted,VBD,O
7,for,IN,O
7,the,DT,O
7,angioplasty,JJ,O
7,instead,RB,O
7,of,IN,O
7,a,DT,O
7,bypass,NN,O
7,to,TO,O
7,how,WRB,O
7,he,PRP,O
7,sought,VBD,O
7,to,TO,O
7,repair,VB,O
7,the,DT,O
7,patient,NN,O
7,damaged,VBD,O
7,vein,JJ,O
7,grafts,NNS,O
7,.,.,O
8,It,PRP,O
8,was,VBD,O
8,a,DT,O
8,learning,JJ,O
8,experience,NN,O
8,as,IN,O
8,doctors,NNS,O
8,we,PRP,O
8,had,VBD,O
8,to,TO,O
8,be,VB,O
8,doubly,RB,O
8,cautious,JJ,O
8,.,.,O
9,They,PRP,O
9,were,VBD,O
9,following,VBG,O
9,the,DT,O
9,surgery,NN,O
9,so,RB,O
9,every,DT,O
9,move,NN,O
9,was,VBD,O
9,under,IN,O
9,scrutiny,NN,O
9,.,.,O
10,But,CC,O
10,we,PRP,O
10,enjoyed,VBD,O
10,the,DT,O
10,challenge,NN,O
10,and,CC,O
10,the,DT,O
10,surgery,NN,O
10,was,VBD,O
10,successful,JJ,O
10,",",",",O
10,said,VBD,O
10,Bhattacharya,NNP,PERSON
10,.,.,O
11,The,DT,O
11,patient,NN,O
11,was,VBD,O
11,a,DT,O
11,55,CD,O
11,year,NN,O
11,old,JJ,O
11,from,IN,O
11,Kolkata,NNP,LOCATION
11,who,WP,O
11,had,VBD,O
11,multiple,JJ,O
11,blockages,NNS,O
11,in,IN,O
11,his,PRP$,O
11,veins,NNS,O
11,that,WDT,O
11,had,VBD,O
11,been,VBN,O
11,grafted,VBN,O
11,during,IN,O
11,a,DT,O
11,bypass,NN,O
11,surgery,NN,O
11,that,IN,O
11,he,PRP,O
11,underwent,VBD,O
11,15,CD,O
11,years,NNS,O
11,ago,RB,O
11,.,.,O
12,Generally,RB,O
12,",",",",O
12,an,DT,O
12,angioplasty,JJ,O
12,doesnt,NN,O
12,work,NN,O
12,when,WRB,O
12,grafted,VBN,O
12,veins,NNS,O
12,develop,VB,O
12,blockages,NNS,O
12,.,.,O
13,The,DT,O
13,process,NN,O
13,starts,VBZ,O
13,after,IN,O
13,five,CD,O
13,years,NNS,O
13,of,IN,O
13,a,DT,O
13,bypass,NN,O
13,surgery,NN,O
13,and,CC,O
13,by,IN,O
13,15,CD,O
13,years,NNS,O
13,",",",",O
13,almost,RB,O
13,60,CD,O
13,of,IN,O
13,patients,NNS,O
13,develop,VBP,O
13,fresh,JJ,O
13,blockages,NNS,O
13,in,IN,O
13,the,DT,O
13,grafted,JJ,O
13,veins,NNS,O
13,.,.,O
14,Now,RB,O
14,",",",",O
14,putting,VBG,O
14,a,DT,O
14,stent,NN,O
14,into,IN,O
14,a,DT,O
14,graft,NN,O
14,could,MD,O
14,be,VB,O
14,risky,JJ,O
14,.,.,O
15,There,EX,O
15,is,VBZ,O
15,a,DT,O
15,possibility,NN,O
15,of,IN,O
15,the,DT,O
15,vein,NN,O
15,bursting,NN,O
15,.,.,O
16,So,RB,O
16,",",",",O
16,we,PRP,O
16,did,VBD,O
16,an,DT,O
16,optical,JJ,O
16,tomography,NN,O
16,to,TO,O
16,assess,VB,O
16,the,DT,O
16,exact,JJ,O
16,state,NN,O
16,of,IN,O
16,the,DT,O
16,veins,NNS,O
16,.,.,O
17,From,IN,O
17,the,DT,O
17,result,NN,O
17,",",",",O
17,we,PRP,O
17,concluded,VBD,O
17,that,IN,O
17,it,PRP,O
17,will,MD,O
17,be,VB,O
17,safe,JJ,O
17,to,TO,O
17,insert,VB,O
17,stents,NNS,O
17,and,CC,O
17,save,VB,O
17,the,DT,O
17,patient,NN,O
17,",",",",O
17,said,VBD,O
17,Bhattacharya,NNP,PERSON
17,.,.,O
18,The,DT,O
18,procedure,NN,O
18,was,VBD,O
18,done,VBN,O
18,without,IN,O
18,any,DT,O
18,hitch,NN,O
18,.,.,O
19,With,IN,O
19,the,DT,O
19,balloon,NN,O
19,and,CC,O
19,the,DT,O
19,stents,NNS,O
19,fitting,VBG,O
19,perfectly,RB,O
19,",",",",O
19,the,DT,O
19,patient,NN,O
19,recovered,VBD,O
19,soon,RB,O
19,.,.,O
20,But,CC,O
20,Bhattacharya,NNP,PERSON
20,and,CC,O
20,his,PRP$,O
20,team,NN,O
20,were,VBD,O
20,not,RB,O
20,so,RB,O
20,certain,JJ,O
20,while,IN,O
20,the,DT,O
20,surgery,NN,O
20,was,VBD,O
20,on,IN,O
20,.,.,O
21,It,PRP,O
21,was,VBD,O
21,being,VBG,O
21,watched,VBN,O
21,by,IN,O
21,500,CD,O
21,delegates,NNS,O
21,and,CC,O
21,doctors,NNS,O
21,in,IN,O
21,Delhi,NNP,LOCATION
21,.,.,O
22,There,EX,O
22,were,VBD,O
22,experts,NNS,O
22,who,WP,O
22,sought,VBD,O
22,explanation,NN,O
22,at,IN,O
22,every,DT,O
22,step,NN,O
22,.,.,O
23,While,IN,O
23,that,DT,O
23,was,VBD,O
23,a,DT,O
23,challenge,NN,O
23,",",",",O
23,we,PRP,O
23,also,RB,O
23,had,VBD,O
23,the,DT,O
23,option,NN,O
23,of,IN,O
23,seeking,VBG,O
23,their,PRP$,O
23,advice,NN,O
23,in,IN,O
23,case,NN,O
23,something,NN,O
23,went,VBD,O
23,wrong,JJ,O
23,",",",",O
23,said,VBD,O
23,Bhattacharya,NNP,PERSON
23,.,.,O
24,KOLKATA,NNS,LOCATION
24,:,:,O
24,Twin,NNP,O
24,cyclonic,JJ,O
24,circulations,NNS,O
24,that,WDT,O
24,brought,VBD,O
24,in,IN,O
24,just,RB,O
24,enough,JJ,O
24,moisture,NN,O
24,to,TO,O
24,push,VB,O
24,up,RP,O
24,humidity,NN,O
24,but,CC,O
24,not,RB,O
24,enough,RB,O
24,to,TO,O
24,trigger,VB,O
24,rain,NN,O
24,turned,VBD,O
24,the,DT,O
24,city,NN,O
24,into,IN,O
24,a,DT,O
24,cauldron,NN,O
24,on,IN,O
24,Thursday,NNP,O
24,.,.,O
25,Though,IN,O
25,the,DT,O
25,maximum,JJ,O
25,temperature,NN,O
25,was,VBD,O
25,a,DT,O
25,not,RB,O
25,too,RB,O
25,harsh,JJ,O
25,36,CD,O
25,.,.,O
26,3,CD,O
26,C,NNP,O
26,",",",",O
26,the,DT,O
26,85,CD,O
26,humidity,NN,O
26,drove,VBD,O
26,the,DT,O
26,discomfort,NN,O
26,index,NN,O
26,to,TO,O
26,a,DT,O
26,sweltering,VBG,O
26,63,CD,O
26,.,.,O
27,8,CD,O
27,",",",",O
27,almost,RB,O
27,9,CD,O
27,notches,NNS,O
27,above,IN,O
27,the,DT,O
27,normal,JJ,O
27,mark,NN,O
27,.,.,O
28,Worse,JJR,O
28,",",",",O
28,there,EX,O
28,is,VBZ,O
28,no,DT,O
28,relief,NN,O
28,in,IN,O
28,sight,NN,O
28,yet,RB,O
28,with,IN,O
28,the,DT,O
28,meteorological,JJ,O
28,office,NN,O
28,ruling,VBG,O
28,out,RP,O
28,rains,NNS,O
28,till,VB,O
28,at,IN,O
28,least,JJS,O
28,Saturday,NNP,O
28,.,.,O
29,Currently,RB,O
29,there,EX,O
29,are,VBP,O
29,two,CD,O
29,cyclonic,JJ,O
29,circulations,NNS,O
29,that,WDT,O
29,are,VBP,O
29,affecting,VBG,O
29,the,DT,O
29,weather,NN,O
29,here,RB,O
29,.,.,O
30,One,CD,O
30,is,VBZ,O
30,building,VBG,O
30,up,RP,O
30,over,IN,O
30,Chhattisgarh,NNP,LOCATION
30,",",",",O
30,Jharkhand,NNP,LOCATION
30,and,CC,O
30,Orissa,NNP,LOCATION
30,and,CC,O
30,the,DT,O
30,other,JJ,O
30,over,IN,O
30,adjoining,VBG,O
30,Bihar,NNP,LOCATION
30,and,CC,O
30,North,NNP,LOCATION
30,Bengal,NNP,LOCATION
30,.,.,O
31,The,DT,O
31,two,CD,O
31,systems,NNS,O
31,are,VBP,O
31,bringing,VBG,O
31,in,IN,O
31,lots,NNS,O
31,of,IN,O
31,moisture,NN,O
31,in,IN,O
31,the,DT,O
31,lower,JJR,O
31,atmosphere,NN,O
31,and,CC,O
31,driving,VBG,O
31,up,RP,O
31,the,DT,O
31,humidity,NN,O
31,.,.,O
32,For,IN,O
32,now,RB,O
32,",",",",O
32,we,PRP,O
32,see,VBP,O
32,no,DT,O
32,improvement,NN,O
32,in,IN,O
32,the,DT,O
32,weather,NN,O
32,.,.,O
33,In,IN,O
33,fact,NN,O
33,",",",",O
33,the,DT,O
33,mercury,NN,O
33,will,MD,O
33,rise,VB,O
33,slightly,RB,O
33,",",",",O
33,said,VBD,O
33,GK,NNP,PERSON
33,Das,NNP,PERSON
33,",",",",O
33,meteorologist,NN,O
33,with,IN,O
33,the,DT,O
33,Regional,NNP,ORGANIZATION
33,Meteorological,NNP,ORGANIZATION
33,Centre,NNP,ORGANIZATION
33,",",",",O
33,Kolkata,NNP,LOCATION
33,.,.,O
34,The,DT,O
34,cyclonic,JJ,O
34,circulation,NN,O
34,however,RB,O
34,is,VBZ,O
34,expected,VBN,O
34,to,TO,O
34,bring,VB,O
34,rains,NNS,O
34,to,TO,O
34,parts,NNS,O
34,of,IN,O
34,north,JJ,O
34,Bengal,NNP,LOCATION
34,and,CC,O
34,Bankura,NNP,LOCATION
34,.,.,O
35,The,DT,O
35,next,JJ,O
35,few,JJ,O
35,days,NNS,O
35,will,MD,O
35,see,VB,O
35,the,DT,O
35,mercury,NN,O
35,hovering,VBG,O
35,between,IN,O
35,37,CD,O
35,38,CD,O
35,C,NNP,O
35,.,.,O
36,NAVI,NNP,LOCATION
36,MUMBAI,NNP,LOCATION
36,:,:,O
36,A,NNP,O
36,civil,JJ,O
36,contractor,NN,O
36,has,VBZ,O
36,been,VBN,O
36,charged,VBN,O
36,with,IN,O
36,negligence,NN,O
36,for,IN,O
36,the,DT,O
36,death,NN,O
36,of,IN,O
36,a,DT,O
36,labourer,NN,O
36,and,CC,O
36,arrested,VBN,O
36,by,IN,O
36,the,DT,O
36,Panvel,NNP,LOCATION
36,city,NN,O
36,police,NN,O
36,on,IN,O
36,Friday,NNP,O
36,.,.,O
37,The,DT,O
37,deceased,VBN,O
37,was,VBD,O
37,carrying,VBG,O
37,out,RP,O
37,painting,VBG,O
37,work,NN,O
37,on,IN,O
37,the,DT,O
37,11th,CD,O
37,floor,NN,O
37,of,IN,O
37,an,DT,O
37,under,IN,O
37,construction,NN,O
37,building,NN,O
37,at,IN,O
37,Karanjade,NNP,LOCATION
37,village,NN,LOCATION
37,when,WRB,O
37,he,PRP,O
37,lost,VBD,O
37,balance,NN,O
37,and,CC,O
37,fell,VBD,O
37,off,RP,O
37,the,DT,O
37,scaffolding,NN,O
37,.,.,O
38,The,DT,O
38,incident,NN,O
38,took,VBD,O
38,place,NN,O
38,on,IN,O
38,September,NNP,O
38,10,CD,O
38,.,.,O
39,The,DT,O
39,victim,NN,O
39,",",",",O
39,Sitasaran,NNP,PERSON
39,Kevat,NNP,PERSON
39,",",",",O
39,was,VBD,O
39,rushed,VBN,O
39,to,TO,O
39,a,DT,O
39,nearby,JJ,O
39,hospital,NN,O
39,where,WRB,O
39,he,PRP,O
39,was,VBD,O
39,declared,VBN,O
39,dead,JJ,O
39,on,IN,O
39,arrival,NN,O
39,.,.,O
40,Initially,RB,O
40,",",",",O
40,an,DT,O
40,accidental,JJ,O
40,death,NN,O
40,report,NN,O
40,was,VBD,O
40,registered,VBN,O
40,against,IN,O
40,the,DT,O
40,contractor,NN,O
40,",",",",O
40,Dara,NNP,PERSON
40,Singh,NNP,PERSON
40,.,.,O
41,However,RB,O
41,",",",",O
41,after,IN,O
41,preliminary,JJ,O
41,investigations,NNS,O
41,",",",",O
41,it,PRP,O
41,was,VBD,O
41,concluded,VBN,O
41,that,IN,O
41,Kevat,NNP,PERSON
41,fell,VBD,O
41,due,JJ,O
41,to,TO,O
41,Singh,NNP,PERSON
41,negligence,NN,O
41,",",",",O
41,as,IN,O
41,he,PRP,O
41,did,VBD,O
41,not,RB,O
41,make,VB,O
41,any,DT,O
41,arrangements,NNS,O
41,of,IN,O
41,knotting,VBG,O
41,the,DT,O
41,hook,NN,O
41,to,TO,O
41,the,DT,O
41,belt,NN,O
41,",",",",O
41,said,VBD,O
41,PSI,NNP,ORGANIZATION
41,Rajiv,NNP,PERSON
41,Baikar,NNP,PERSON
41,.,.,O
42,CHENNAI,NN,LOCATION
42,:,:,O
42,As,IN,O
42,motorists,NNS,O
42,struggle,VBP,O
42,through,IN,O
42,pothole,NN,O
42,strewn,NN,O
42,Velachery,NNP,LOCATION
42,Main,NNP,LOCATION
42,Road,NNP,LOCATION
42,everyday,NN,O
42,",",",",O
42,the,DT,O
42,one,CD,O
42,thought,NN,O
42,foremost,NN,O
42,in,IN,O
42,their,PRP$,O
42,minds,NNS,O
42,is,VBZ,O
42,what,WP,O
42,will,MD,O
42,happen,VB,O
42,when,WRB,O
42,the,DT,O
42,northeast,NN,O
42,monsoon,NN,O
42,arrives,NNS,O
42,.,.,O
43,Corporation,NN,ORGANIZATION
43,officials,NNS,O
43,say,VBP,O
43,they,PRP,O
43,are,VBP,O
43,trying,VBG,O
43,to,TO,O
43,relay,VB,O
43,the,DT,O
43,roads,NNS,O
43,before,IN,O
43,the,DT,O
43,monsoon,NN,O
43,but,CC,O
43,residents,NNS,O
43,see,VBP,O
43,little,JJ,O
43,hope,NN,O
43,of,IN,O
43,the,DT,O
43,road,NN,O
43,being,VBG,O
43,repaired,VBN,O
43,by,IN,O
43,then,RB,O
43,.,.,O
44,The,DT,O
44,arterial,JJ,O
44,link,NN,O
44,was,VBD,O
44,meant,VBN,O
44,to,TO,O
44,be,VB,O
44,improved,VBN,O
44,as,IN,O
44,part,NN,O
44,of,IN,O
44,the,DT,O
44,194,CD,O
44,bus,NN,O
44,route,NN,O
44,roads,VBZ,O
44,the,DT,O
44,city,NN,O
44,Corporation,NNP,ORGANIZATION
44,took,VBD,O
44,up,RP,O
44,in,IN,O
44,May,NNP,O
44,but,CC,O
44,work,NN,O
44,here,RB,O
44,was,VBD,O
44,put,VBN,O
44,on,IN,O
44,hold,NN,O
44,along,IN,O
44,with,IN,O
44,eight,CD,O
44,roads,NNS,O
44,",",",",O
44,including,VBG,O
44,Perambur,NNP,LOCATION
44,Barracks,NNP,LOCATION
44,Roads,NNP,LOCATION
44,and,CC,O
44,Canal,NNP,LOCATION
44,Bank,NNP,LOCATION
44,Road,NNP,LOCATION
44,.,.,O
45,These,DT,O
45,roads,NNS,O
45,were,VBD,O
45,dug,VBN,O
45,up,RP,O
45,by,IN,O
45,other,JJ,O
45,agencies,NNS,O
45,because,IN,O
45,of,IN,O
45,which,WDT,O
45,we,PRP,O
45,have,VBP,O
45,put,VBN,O
45,them,PRP,O
45,on,IN,O
45,hold,NN,O
45,",",",",O
45,said,VBD,O
45,a,DT,O
45,corporation,NN,O
45,official,NN,O
45,.,.,O
46,Velachery,NNP,LOCATION
46,Main,NNP,LOCATION
46,Road,NNP,LOCATION
46,",",",",O
46,which,WDT,O
46,connects,VBZ,O
46,Guindy,NNP,LOCATION
46,",",",",O
46,Adyar,NNP,LOCATION
46,",",",",O
46,Madipakkam,NNP,LOCATION
46,and,CC,O
46,Tambaram,NNP,LOCATION
46,and,CC,O
46,also,RB,O
46,links,VBZ,O
46,several,JJ,O
46,interior,JJ,O
46,areas,NNS,O
46,",",",",O
46,was,VBD,O
46,dug,VBN,O
46,up,RP,O
46,over,IN,O
46,eight,CD,O
46,months,NNS,O
46,ago,RB,O
46,",",",",O
46,While,IN,O
46,some,DT,O
46,portions,NNS,O
46,have,VBP,O
46,been,VBN,O
46,re,VBN,O
46,laid,VBN,O
46,",",",",O
46,other,JJ,O
46,parts,NNS,O
46,remain,VBP,O
46,full,JJ,O
46,of,IN,O
46,potholes,NNS,O
46,.,.,O
47,After,IN,O
47,several,JJ,O
47,requests,NNS,O
47,",",",",O
47,corporation,NN,O
47,relaid,VBD,O
47,a,DT,O
47,part,NN,O
47,of,IN,O
47,Velachery,NNP,LOCATION
47,Main,NNP,LOCATION
47,Road,NNP,LOCATION
47,starting,VBG,O
47,from,IN,O
47,Guru,NNP,ORGANIZATION
47,Nanak,NNP,ORGANIZATION
47,College,NNP,ORGANIZATION
47,up,RB,O
47,to,TO,O
47,Dhandeeswaram,NNP,LOCATION
47,Nagar,NNP,LOCATION
47,about,IN,O
47,20,CD,O
47,days,NNS,O
47,ago,RB,O
47,",",",",O
47,said,VBD,O
47,Velachery,NNP,ORGANIZATION
47,Guindy,NNP,ORGANIZATION
47,People,NNP,ORGANIZATION
47,Welfare,NNP,ORGANIZATION
47,Association,NNP,ORGANIZATION
47,secretary,NN,O
47,V,NNP,PERSON
47,S,NNP,PERSON
47,Lingaperumal,NNP,PERSON
47,.,.,O
48,But,CC,O
48,",",",",O
48,from,IN,O
48,Dhandeeswaram,NNP,LOCATION
48,Nagar,NNP,LOCATION
48,bus,NN,LOCATION
48,stop,NN,LOCATION
48,to,TO,O
48,the,DT,O
48,Velachery,NNP,LOCATION
48,police,NN,LOCATION
48,station,NN,LOCATION
48,",",",",O
48,the,DT,O
48,road,NN,O
48,is,VBZ,O
48,completely,RB,O
48,damaged,VBN,O
48,.,.,O
49,Officials,NNS,O
49,say,VBP,O
49,a,DT,O
49,utility,NN,O
49,agency,NN,O
49,is,VBZ,O
49,yet,RB,O
49,to,TO,O
49,lay,VB,O
49,cables,NNS,O
49,on,IN,O
49,this,DT,O
49,stretch,NN,O
49,and,CC,O
49,they,PRP,O
49,can,MD,O
49,relay,VB,O
49,it,PRP,O
49,only,RB,O
49,after,IN,O
49,that,DT,O
49,job,NN,O
49,is,VBZ,O
49,done,VBN,O
49,",",",",O
49,he,PRP,O
49,said,VBD,O
49,.,.,O
50,ork,NN,O
50,.,.,O
51,We,PRP,O
51,are,VBP,O
51,dreading,VBG,O
51,what,WP,O
51,we,PRP,O
51,will,MD,O
51,do,VB,O
51,once,RB,O
51,it,PRP,O
51,starts,VBZ,O
51,raining,NN,O
51,",",",",O
51,said,VBD,O
51,Sathyamurthy,NNP,PERSON
51,G,NNP,PERSON
51,",",",",O
51,who,WP,O
51,lives,VBZ,O
51,along,RB,O
51,Velachery,NNP,LOCATION
51,Main,NNP,LOCATION
51,Road,NNP,LOCATION
51,.,.,O
52,It,PRP,O
52,takes,VBZ,O
52,five,CD,O
52,minutes,NNS,O
52,for,IN,O
52,us,PRP,O
52,to,TO,O
52,get,VB,O
52,to,TO,O
52,the,DT,O
52,nearest,JJS,O
52,hospital,NN,O
52,through,IN,O
52,this,DT,O
52,road,NN,O
52,.,.,O
53,Alternatively,RB,O
53,",",",",O
53,we,PRP,O
53,will,MD,O
53,have,VB,O
53,to,TO,O
53,take,VB,O
53,the,DT,O
53,by,IN,O
53,pass,NN,O
53,road,NN,O
53,which,WDT,O
53,will,MD,O
53,take,VB,O
53,20,CD,O
53,minutes,NNS,O
53,",",",",O
53,he,PRP,O
53,said,VBD,O
53,.,.,O
54,AHMEDABAD,NN,LOCATION
54,:,:,O
54,The,DT,O
54,All,NNP,ORGANIZATION
54,India,NNP,ORGANIZATION
54,Council,NNP,ORGANIZATION
54,for,IN,ORGANIZATION
54,Technical,NNP,ORGANIZATION
54,Education,NNP,ORGANIZATION
54,(,(,O
54,AICTE,NNP,ORGANIZATION
54,),),O
54,has,VBZ,O
54,started,VBN,O
54,the,DT,O
54,procedure,NN,O
54,for,IN,O
54,granting,VBG,O
54,accreditation,NN,O
54,to,TO,O
54,new,JJ,O
54,colleges,NNS,O
54,for,IN,O
54,professional,JJ,O
54,courses,NNS,O
54,.,.,O
55,However,RB,O
55,",",",",O
55,it,PRP,O
55,has,VBZ,O
55,made,VBN,O
55,it,PRP,O
55,clear,JJ,O
55,that,IN,O
55,existing,VBG,O
55,colleges,NNS,O
55,who,WP,O
55,have,VBP,O
55,accreditation,NN,O
55,from,IN,O
55,the,DT,O
55,National,NNP,ORGANIZATION
55,Assessment,NNP,ORGANIZATION
55,and,CC,ORGANIZATION
55,Accreditation,NNP,ORGANIZATION
55,Council,NNP,ORGANIZATION
55,(,(,O
55,NAAC,NNP,ORGANIZATION
55,),),O
55,would,MD,O
55,have,VB,O
55,to,TO,O
55,apply,VB,O
55,afresh,JJ,O
55,for,IN,O
55,increase,NN,O
55,of,IN,O
55,seats,NNS,O
55,.,.,O
56,The,DT,O
56,AICTE,NNP,ORGANIZATION
56,has,VBZ,O
56,made,VBN,O
56,it,PRP,O
56,clear,JJ,O
56,that,IN,O
56,though,IN,O
56,NAAC,NNP,ORGANIZATION
56,accredited,VBD,O
56,colleges,NNS,O
56,will,MD,O
56,be,VB,O
56,considered,VBN,O
56,for,IN,O
56,increased,JJ,O
56,intake,NN,O
56,",",",",O
56,the,DT,O
56,remaining,VBG,O
56,colleges,NNS,O
56,will,MD,O
56,not,RB,O
56,be,VB,O
56,permitted,VBN,O
56,to,TO,O
56,do,VB,O
56,so,RB,O
56,.,.,O
57,Sources,NNS,O
57,said,VBD,O
57,the,DT,O
57,AICTE,NNP,ORGANIZATION
57,will,MD,O
57,launch,VB,O
57,its,PRP$,O
57,website,NN,O
57,from,IN,O
57,January,NNP,O
57,26,CD,O
57,",",",",O
57,for,IN,O
57,online,JJ,O
57,filing,NN,O
57,of,IN,O
57,applications,NNS,O
57,for,IN,O
57,accreditation,NN,O
57,.,.,O
58,New,NNP,O
58,colleges,NNS,O
58,offering,VBG,O
58,degree,NN,O
58,and,CC,O
58,diploma,NN,O
58,in,IN,O
58,engineering,NN,O
58,",",",",O
58,pharmacy,NN,O
58,",",",",O
58,Master,NNP,O
58,of,IN,O
58,Business,NNP,O
58,Administration,NNP,O
58,",",",",O
58,Master,NNP,O
58,of,IN,O
58,Computer,NNP,O
58,Application,NNP,O
58,and,CC,O
58,even,RB,O
58,architecture,JJ,O
58,colleges,NNS,O
58,can,MD,O
58,apply,VB,O
58,for,IN,O
58,accreditation,NN,O
58,",",",",O
58,the,DT,O
58,process,NN,O
58,for,IN,O
58,which,WDT,O
58,will,MD,O
58,end,VB,O
58,on,IN,O
58,February,NNP,O
58,20,CD,O
58,.,.,O
59,CHENNAI,NN,LOCATION
59,:,:,O
59,South,NNP,LOCATION
59,Chennai,NNP,LOCATION
59,is,VBZ,O
59,likely,JJ,O
59,to,TO,O
59,face,VB,O
59,a,DT,O
59,severe,JJ,O
59,water,NN,O
59,crisis,NN,O
59,in,IN,O
59,the,DT,O
59,next,JJ,O
59,decade,NN,O
59,as,IN,O
59,the,DT,O
59,groundwater,NN,O
59,table,JJ,O
59,beneath,NN,O
59,Pallikaranai,NNP,LOCATION
59,marshland,NN,LOCATION
59,",",",",O
59,across,IN,O
59,a,DT,O
59,radius,NN,O
59,of,IN,O
59,2km,CD,O
59,",",",",O
59,is,VBZ,O
59,fast,JJ,O
59,depleting,NN,O
59,",",",",O
59,a,DT,O
59,study,NN,O
59,has,VBZ,O
59,warned,VBN,O
59,.,.,O
60,Pallikaranai,NNP,LOCATION
60,is,VBZ,O
60,an,DT,O
60,important,JJ,O
60,groundwater,NN,O
60,recharging,VBG,O
60,source,NN,O
60,in,IN,O
60,the,DT,O
60,southern,JJ,O
60,parts,NNS,O
60,of,IN,O
60,the,DT,O
60,city,NN,O
60,",",",",O
60,notes,VBZ,O
60,the,DT,O
60,study,NN,O
60,carried,VBD,O
60,out,IN,O
60,from,IN,O
60,December,NNP,O
60,2013,CD,O
60,to,TO,O
60,November,NNP,O
60,2014,CD,O
60,by,IN,O
60,CareEarth,NNP,ORGANIZATION
60,",",",",O
60,a,DT,O
60,Chennai,NNP,LOCATION
60,based,VBN,O
60,biodiversity,NN,O
60,conservation,NN,O
60,organisation,NN,O
60,.,.,O
61,When,WRB,O
61,researchers,NNS,O
61,stacked,VBD,O
61,up,RP,O
61,data,NNS,O
61,from,IN,O
61,2001,CD,O
61,with,IN,O
61,the,DT,O
61,most,RBS,O
61,recent,JJ,O
61,figures,NNS,O
61,",",",",O
61,they,PRP,O
61,found,VBD,O
61,that,IN,O
61,both,DT,O
61,the,DT,O
61,catchment,JJ,O
61,area,NN,O
61,and,CC,O
61,effective,JJ,O
