ID,Title,Content,Intersection,Union
12,"Bhopal jailbreak: ADG prison removed, ex RAW officer Sudhir Shahi takes charge ","BHOPAL: Sudhir Shahi a 1988 batch IPS officer of Madhya Pradesh cadre, who spearheaded infamous Vyapam scam investigations as state s chief of Special Task force (STF) leading to more than 2,000 arrests in three years, has been asked to take charge as additional director general of police (ADG) as Sushovan Benarjee was shunted from the position following Monday's jailbreak incident by SIMI activists. Shahi was in RAW for several years before his return to the state as ADG STF. Chief Minister Shivraj Singh Chouhan said former DGP Nandan Dubey will investigate the incident. Madhya Pradesh police and its Anti terrorist squad (ATS) had gunned down all eight SIMI members within eight hours after they escaped from Bhopal Central Jail killing a head constable and scaling the wall of the so called high security premises using bed sheets on Monday morning. They were cornered and gunned down 10 km away from the prison in city outskirts in a joint operation of city police, counter terrorist group (CTG) and an ATS team led by IPS officer Sanjeev Shami.","BHOPAL, Madhya Pradesh, Bhopal","BHOPAL, Madhya Pradesh, Bhopal, Bhopal Central Jail"
13,NMC to revive radio maxi cab project ,"NAGPUR : Nagpur Municipal Corporation (NMC) has planned to revive the radio maxi cab project stuck for last 16 months due to various reasons. Now, the project will be known as taxi cab. The general body is likely to approve the revision in the meeting organized on March 4. Mayor Pravin Datke has organized the general body meeting for March in the first week itself. The city transport committee has tabled the proposal related to the taxi cab project.","NAGPUR, Nagpur","NAGPUR, Nagpur"
14,"Foggy morning greets national capital, 42 trains running late ","NEW DELHI: The national capital today woke up to a foggy morning and poor visibility following which at least 3 international flights were delayed and one domestic flight from/to Delhi was cancelled even as 42 trains were running late and four were rescheduled from here. A Railway official also said that at least 6 trains were cancelled due to fog. Meanwhile, according to the Delhi International Airport Limited, which manages operations at the Indira Gandhi International airport here, flight operations were also affected on Friday. Atleast, 3 international flights were delayed and one domestic flight from/to Delhi was cancelled due to foggy weather.","Delhi, NEW DELHI","Indira Gandhi International airport, Delhi, NEW DELHI"
15,CPM seniors seek action against Bengal unit for tie up with Cong ,"New Delhi: Over 70 of the CPM central committee's 101 members voiced their opposition to the electoral alliance with Congress in West Bengal at its three day meeting here that concluded on Monday. They said it was a clear violation of an earlier decision of the central committee, with some of the alliance's opponents even demanding action against the party's Bengal brass. Ultimately, the blame has fallen on the CPM politburo for failing to implement the committee's decision of not having any truck with Congress. Now, the politburo has been authorised by the committee to ensure that the political tactical line adopted at the party's Vizag congress last year is adhered to. A politburo team will soon travel to Kolkata to apprise the state leadership of the decision as well as ensure its implementation.",New Delhi,"West Bengal, New Delhi, Kolkata, Vizag, Bengal"
16,CM raps civic bodies over dengue menace ,"Kolkata: Reacting to newspaper reports on the rising dengue cases, especially in the city's northern fringes, chief minister Mamata Banerjee on Friday sent out a stern message to the Bidhannagar, South Dum Dum and Dum Dum municipalities, ordering them to check the outbreak. TOI on Thursday reported the high prevalence of dengue in the South Dum Dum civic areas the incidence has been so high that 15 out of a 25 member family in the area have been diagnosed with dengue. "" The number of dengue cases are increasing in those areas. I have read it in newspapers and you have to be careful about that. Why is it rising in these areas?","Kolkata, Bidhannagar, South Dum Dum","Bidhannagar, South Dum Dum, Dum Dum, Kolkata"
17,Rau cracker unit blast: 2 arrested ,"Indore: Police on Saturday identified the person who was charred to death in the major fire which took place in a cracker unit Rau on Friday. Deceased has been identified as Daya Ram, 40, and was working in the factory when the fire broke out. "" Daya was disabled and died in the fire. His body was handed over to family members after post mortem examination,"" said Vijay Sisodiya, Rau police station in charge. Meanwhile, two of the accused against whom a case was registered under relevant sections of the IPC were arrested on Saturday. """,Indore,"Indore, Rau"
18,Cong releases booklet on Modi govt's 'failures' ,"AMRITSAR: National spokespersons of the Congress Jaiveer Shergill and Charanjit Singh Sapra released a booklet titled '2 Saal, Desh Ka Bura Haal' here on Saturday to counter the campaign by the Narendra Modi led NDA government at the Centre on completion of two years of its tenure. Talking to newspersons, Shergill alleged that the two year report card of Modi government was full of red lines as it had failed in each sector. "" The government came with the promise of taking everyone along for overall growth, 'sabka saath sabka vikas'. but it has now adopted anti people and anti farmer policies. The slogan now seems to be 'Aapna Saath Baaki Sabka Vinaash',"" he said adding that no segment of the society was happy with the Union government.",AMRITSAR,AMRITSAR
19,Krishna bounty floors Anantapur farmers ,"VIJAYAWADA: Gorla Keshava Reddy, a groundnut farmer from Yerragunta village in Rapthadu mandal of parched Anantapur district, had never seen so much water in his life. Standing at the Krishna western main canal near Prakasam barrage here on Monday, Keshava Reddy gushed, "" So much water!"" "" It feels so good to see water. From where I come the land is parched. I am 48 years old and I have never seen this much quantum of water,"" Keshava Reddy exclaimed.","Anantapur, Prakasam barrage, Rapthadu mandal, Yerragunta, Krishna","Anantapur, Yerragunta, Prakasam barrage, VIJAYAWADA, Rapthadu mandal, Rapthadu, Krishna"
20,Another YSRC MLA joins TDP sixth cross over in a week ,"Vijayawada: YSR Congress president Y S Jaganmohan Reddy suffered another setback today as one more MLA from his camp crossed over to the ruling Telugu Desam, this time from Prakasam district, taking the total number of MLAs who have crossed over in the last one week to six. Yerragondapalem MLA P David Raju met TDP supremo and chief minister N Chandrababu Naidu at the latter's riverfront residence here today and "" returned"" to the party. "" I had served in TDP for 24 years previously. I have returned to the party in deference to the wishes of my constituency people,"" David Raju told newsmen, emerging out of Chandrababu's residence. David Raju had been the chairman of Prakasam Zilla Parishad and also an MLA when he was in the TDP.","Vijayawada, Prakasam","Vijayawada, Yerragondapalem, Prakasam"
21,7 armed militia members surrender ,"Visakhapatnam: Seven armed militia members of Korukonda Area Committee of CPI (Maoists) surrendered before the Chintapalli police on Tuesday. The surrendered naxals were K Chnnabbai (32), K Ramamurthy (52), V Ganga Raju, (43), V Rambabu (31), V Krishna Rao (21), K Baddu naidu (36) and Korra Ravi (26) of Cheruvuru village in Balapam panchayat of Chintapalli mandal. They surrendered due to pressure by the village heads and counselling by the police. According to the Visakha Rural police, the surrendered naxals were involved in occupying coffee plantations of APFDC at Balapam panchyat in 2011, famine raid on Balapam MPTC house in 2013, and attack on the house of Gemmeli Sanjeeva Rao in Veeravaram village in 2015.","Balapam, Veeravaram, Chintapalli, Visakhapatnam","Veeravaram, Cheruvuru, Chintapalli mandal, Balapam, Visakha, Chintapalli, India, Korukonda, Visakhapatnam"
22,LGBT film hits Censor Board hurdle ,"Kannur: 'KaBody Scapes' the controversial Malayalam feature film by new York based film maker Jayan Cherian, has been denied clearance by the Central Board of Film Certification (CBFC), saying that it contained "" sensitive gay scenes, use of derogatory words against women and vulgar dialogues"" . But the activists belonging to the LGBT community in the state, with whose support the film was made, feel that the certification agency refused the clearance because the authorities are afraid of the politics projected in the film. According to the director, the agency did not give a rejection letter and instead they referred it to the revising committee. "" Now I will have to wait for the convenience of the revising committee, and also I have to pay another Rs 9,000 apart from the Rs 30,000 I spent as fee and screening expenses,"" he said. This film, which gained international attention when it was premiered in the 'BFI Flare: London LGBT Film Festival' last month, is the result of the hard work of the people associated with the LGBT movement in Kerala and the authorities are afraid of their voice being heard, said Jayan, adding that the agency was hesitant because the film also criticized the Hindutwa politics.","Kerala, Kannur","Kerala, London, new York, Kannur"
23,Let Tourist Taxi Owners Association control hotel room fares ,"PANJI: North Goa Tourist Taxi Owners Association (NGTTOA) has slammed the Travel and Tourism Association of Goa (TTAG) president Savio Messias recent comments about moving the high court for implementation of digital meters for tourist taxis. Speaking to TOI, Calangute based vice president of the NGTTOA, Ravindra Vengurlekar, said the TTAG should first look into the functioning of their member hotels which hike up room tariffs arbitrarily. Messias should first control the hoteliers and then talk about taxis. They should also control the price of air tickets which also shoot up to unreasonable levels, besides the tour operators who charge exorbitantly for tours, Vengurlekar said. He said that they are ready to install digital meters provided all their pending demands are met.","PANJI, Goa","Calangute, PANJI, Goa, North Goa"
24,"Nanjangud to New York, fest draws the new age puppeteer ","BENGALURU: They are the ancient storytellers. Aged 250 300 years old, these wooden dolls dip into mythology to narrate the tales of Sathya Harischandra and Gaya Charitra of Arjuna and Krishna, over the centuries. But their repertoire is not confined to history they also narrate the plight of women suffering from dowry harassment and family planning in modern day India. The Sri Rameshwara Krupa Poshita Yakshagana puppetry troupe, based out of Halkere village near Nanjangud near Mysuru, claims a rich background. It took part in the Dhaatu International Conference on 'Exploring the Classical Roots and Living Traditions of Puppetry'. ""","Mysuru, BENGALURU, Nanjangud, India","Halkere, BENGALURU, Nanjangud, New York, Mysuru, India"
25,Forex scam accused held ,"Panaji: The economic offences cell (EOC) of the Goa police arrested Kamakshi Forex Private Limited owner Nilesh Raikar after he surrendered on Friday morning. For the last eight days EOC sleuths were on the lookout for Raikar for alleged duping over 384 persons of over 25 crore. PI Shivram Vaigankar told TOI that Raikar surrendered before the EOC at around 11am on Friday and he will be produced before the judicial magistrate first class on Saturday to seek police custody. During the initial investigation, the accused had said that he was in Goa and staying at Ponda. The accused was taken for medical examination at Goa Medical College and Hospital.",Goa,"Ponda, Panaji, Goa"
26,Income tax department tracks 18crore black money in Jagraon ,"LUDHIANA: The investigation wing of the income tax department, Ludhiana, unearthed undisclosed income of Rs 18 crore from a Jagraon based firm which is one of the leading manufacturers of rice bran oil in the country. The development comes in the wake of a raid which was conducted by the principal director of investigation Parneet Sachdev and joint director of income tax Rohit Mehra on the said firm and one more company about three weeks ago in which hundreds of income tax officers were engaged in the investigation. According to sources in the department, officials during the investigation came across many discrepancies in firm's accounts which pointed towards concealing of actual profits by the firm. Initially the owners had refused to accept the fact, but later made the disclosure themselves when the department found substantial evidence in support of their claim. Department will now initiate proceedings under the income tax Act under which penalty and taxes will be levied on the firm.","Ludhiana, LUDHIANA","Ludhiana, Jagraon, LUDHIANA"
27,"AIFB to stay with AIADMK, but will seek more seats ","Madurai: All India Forward Bloc general secretary Debabrata Biswas has said the left party will stick to the alliance with the AIADMK in the coming assembly elections in the state, but will seek more seats this time. Addressing the press here on Wednesday, Biswas said the party had formed a team to identify constituencies where it can contest. Biswas participated in a state level meeting of AIFB here. The AIFB has chalked out plans to contest in the four states and the Union territory Puducherry where elections will be held this year. In the last assembly elections in Tamil Nadu, the AIFB allied with the AIADMK and won the Usilampatti constituency.","Madurai, Usilampatti, India, Tamil Nadu","Madurai, Usilampatti, Tamil Nadu, India, Puducherry"
28,"Muhurat for govt, what about staff? ","Amaravati: Chief minister N Chandrababu Naidu's decision to have a house warming ceremony at Velagupudu village in the wee hours of Monday has put the local farmers on cloud nine as they are hopeful of more development in the capital city area. However, the explanation put out by the state government and it citing the absence of auspicious days for next six months as the main reason for such a hurried inauguration of the secretariat has sowed the seeds of doubt amongst the staff. Many employees are mulling whether to shift to the new location during an 'inauspicious period'. Even though they are all supposed to move into the new secretariat by June, the ruling dispensation has done precious little to motivate the lot who are already upset over unnecessary preference being given to irrational things such as Muhurat.",Amaravati,"Velagupudu, Amaravati"
29,Changes in film certificate norms soon: Arun Jaitley ,"NEW DELHI: Information and broadcasting minister Arun Jaitley on Thursday said film certification norms will have to be liberal and "" some very radical changes"" will be announced over the next few days. The film 'Udta Punjab' was handed down 89 cuts by the Central Board of Film Certification (CBFC) and its makers have appealed in the Film Certificate Appelate Tribunal (FCAT). FCAT is expected to hear the case on June 17 when the film was scheduled for release. The filmmakers have also approached the Bombay high court for relief. Speaking on the 'Udta Punjab' controversy, Jaitley said, "" I won't say it is overboard.",NEW DELHI,"NEW DELHI, Bombay, Punjab"
30,NGOs announce Rs 1 lakh reward to nab tiger poacher ,"Nagpur: The Wildlife Protection Force of Vidarbha (WPFV), a federation of NGOs, has announced a Rs1lakh reward to nab dreaded tiger poacher Kuttu Chhiyalal Rajgond, who has been absconding for the past seven months. The WPFV has also demanded that CBI issue a red corner notice against Kuttu. A memorandum in this regard has already been submitted to chief minister Devendra Fadnavis and forest minister Sudhir Mungantiwar. Taking to newsmen, president of WPFV Mahesh Nimbarte said Kuttu had escaped from Bhandara police custody on January 21. Kuttu was arrested in April 2015 amid high drama from Biruhali in Katni (MP).","Biruhali, Nagpur, Katni","Vidarbha, Biruhali, Nagpur, Bhandara, Katni"
31,"History sheeter sets ablaze parents' houses, booked ","Rajkot: A 27 year old man was booked for allegedly torching two houses owned by his parents in Popatpara area of the city on Tuesday late night over an ongoing domestic dispute. Jiluben Dal (55), a resident of Krishna Nagar in Popatpara lodged a complaint against her son, Imran Dal, accusing him of setting ablaze her two houses in Krishna Nagar I and Krishna Nagar V. Imran is a history sheeter with about half a dozen cases related to bootlegging and rioting pending against him. In her complaint, Jiluben stated that on Tuesday around 11pm, she came to know that Imran had set afire her house in Krishna Nagar I society. "" I immediately rushed there and called in fire brigade,"" she added. Jiluben further stated that when she was on her way to lodge a complaint against her son, Imran reached her other house in Krishna Nagar V society and set that too on fire. ""","Rajkot, Krishna Nagar, Popatpara","Rajkot, Krishna Nagar, Popatpara, Krishna Nagar I, Krishna Nagar V"
32,"Third, BJP finds comfort in stats ","NEW DELHI: While it got the highest chunk of votes among the parties contesting the municipal bypolls in Delhi, BJP still ended in the third position with just three seats after AAP and Congress took five each. But the party is optimistic because it seems not only to have retained its support base, but even improved it from 32.3% in the 2015 assembly poll to 34.11% now. Whatever the portents contained in the statistics, the party, as its fretting members will tell you, urgently needs a leadership that will see it through in the municipal elections that are just 10 months away. They blame the leadership for the party's gradual decline in Delhi: In 2007, BJP had won 9 of the 13 seats that had gone to polls on Sunday. This slid to 7 in 2012 and now to three.",Delhi,"Delhi, NEW DELHI"
33,9 day ritual to purify temple corrupted by Dalits ,"DEHRADUN: The Silgur devta temple in Pokhri village of the Jaunsar Bawar region, which witnessed unruly scenes on Friday when a mob attacked Rajya Sabha MP Tarun Vijay with stones for entering the premises with Dalits, would now conduct a long purification ritual of nine days. A temple official said that they needed to conduct purifying poojas since the temple had been desecrated by the entry of Dalits. The dev doli of Silgur Devta that was brought after a gap of 36 years to our village was defiled. The devta is upset. We will now undergo a nine day purification rituals to appease it, said an official of the temple samiti.","Pokhri, Jaunsar Bawar, DEHRADUN","Pokhri, Jaunsar Bawar, DEHRADUN, Silgur devta temple"
34,Food vendor shot dead over personal enemity ,"NOIDA: A 20 year old food vendor was shot dead in Dankaur area on Wednesday around 9pm. The deceased, Guddu, was returning to his village, Bilaspur, after selling his goods. S P Singh, SHO Dankaur, said that Guddu used to sell food in a local market. He had some personal enmity with another vendor named Danish. They fought with each other on Wednesday night.","Dankaur, NOIDA","Dankaur, Bilaspur, NOIDA"
35,Govt seeks citizens inputs on Kelkar report ,"NAGPUR: The state government has decided to seek input of citizens on Vijay Kelkar report on regional imbalance in Maharashtra. The decision was taken on Friday following the demands raised by legislators during discussion on the report held in the recently concluded budget session. The government had constituted a seven member cabinet subcommittee on January 17 to study the report and submit its opinion to the cabinet. The subcommittee's brief was to suggest to the cabinet the recommendations of the Kelkar committee that should be accepted. Following demands by MLAs and MLCs, the government has expanded the subcommittee by inducting five new members.","NAGPUR, Maharashtra","NAGPUR, Maharashtra"
36,Senior citizen killed in accident ,"PUNE: A senior citizen died in a hit and run case on Thursday afternoon, while two other victims of identical accidents succumbed to injuries the same day. The senior citizen, Satyavan Sopan Bhujbal (76) of Bhujbal Vasti died after being knocked down by a vehicle at Wakad. The Hinjewadi police said the accident occurred around 12 noon when Bhujbal was walking towards his house. Bhujbal died on the spot. Another hit and run accident victim, Gaus Shaikh (28) of Latur, succumbed to injuries on Thursday.","PUNE, Wakad","PUNE, Latur, Wakad, Bhujbal Vasti, Hinjewadi"
37,Sort out poll duty issue: HC to govt ,"Chandigarh: Taking up a bunch of petitions filed by teaching staff of Haryana colleges against assignment of elections duty in the panchayat elections "" below their status,"" the Punjab and Haryana high court has asked the state government to sort out the issue immediately. HC, while passing these orders on January 14, observed that since polls for first phase of panchayat polls were already over and schedule for second phase released, the state should take appropriate decision while assigning them duties for the third phase as per their status. The third phase of panchayat polls will be held on January 24. Justice Deepak Sibal passed these orders after disposing of a bunch of petitions filed by lecturers/assistant professors, working in various government colleges or government polytechnic colleges of the state. The petitioners informed the HC that they were assigned duties as presiding officers for the panchayat polls.","Haryana, Chandigarh","Haryana, Punjab, Chandigarh"
38,Exploitation turns Chambal into a rivulet ,"Bhopal: After unprecedented heatwave conditions and exploitation of water, Chambal River the lifeline of north western Madhya Pradesh has shrunk into a thin rivulet in Madhya Pradesh and can simply be crossed by jumping across the water. Home to endangered species of gharial (Gavialis gangeticu) and dolphins, the shrinking river has forced them to survive in deep pools in the downstream of the river. About 900 metre wide river has shrunk to just 12 feet, said Rishikesh Sharma, research officer at National Chambal Ghariyal Sanctuary in Morena. "" This is a critical stage for any river. It is the result of intense heatwave in Rajasthan and Madhya Pradesh leading to evaporation of water besides over exploitation of the the water body,"" Sharma who has been working for the conservation of gharial in the sanctuary. ""","Madhya Pradesh, Rajasthan","Madhya Pradesh, Bhopal, National Chambal Ghariyal Sanctuary, Morena, Rajasthan, Chambal River, Chambal"
39,New MU Act to be cleared in Nagpur session: Vinod Tawde ,"NAGPUR: In some good news for the state run universities, Maharashtra education minister Vinod Tawde assured that much awaited Maharashtra Public Universities Act, 2015 would be cleared in ongoing winter assembly session only. It would pave way for conducting Board of Studies (BOS) elections, which were not conducted since August last year. Speaking to TOI on first day of session, the minister also stated that joint committee of both houses comprising 25 members cleared the draft bill after suggesting some amendments. The amended draft bill would be tabled before the assembly within a couple of days, he said. Sources closed to the minister informed that the draft copy, after it was cleared by the joint panel of legislature, was available for studies to the members of both houses.","NAGPUR, Maharashtra"," Nagpur, NAGPUR, Maharashtra"
40,Gujarat govt may include sarpanches in SIR authorities ,"AHMEDABAD: To promote frictionless implementation of special investment regions (SIR), the state government has decided to include panchayat members and sarpanches of affected villages in SIR authorities. The state industry mines department has proposed a new bill to make necessary amendments in the SIR Act for this purpose. The bill will be tabled in the upcoming budget session in the state assembly. The move to give local village leaders a say in SIR is aimed at preventing confrontation with farmers at a later stage. Currently , farmers have moved court against SIR in Dholera.",Gujarat,"AHMEDABAD, Gujarat, Dholera"
41,Dalit rights advocate Pravin Rashtrapal passes away ,"Gandhinagar: Rajya Sabha Member of Parliament (MP) and senior Congress leader Pravin Rashtrapal (77) passed away in New Delhi on Thursday following a heart attack. Rashtrapal was known as a key dalit rights activist from Gujarat. Prime Minister Narendra Modi, senior Congress leaders Sonia Gandhi, Ahmed Patel, Bharatsinh Solanki and Shankersinh Vaghela expressed their condolence to Rashtrapal's family. His last rites will be performed at Ahmedabad after a brief condolence meet at Gujarat Pradesh Congress Committee (GPCC) office on Friday. Rashtrapal, an Income Tax officer, joined politics after his retirement.","New Delhi, Gujarat, Ahmedabad, Gandhinagar","New Delhi, Ahmedabad, Gujarat, Gandhinagar"
42,Gurudev's connect with Sangam city ,"Allahabad: The 'pocheesh Baishakh' date on Bengali calendar will be celebrated in the city on Sunday as 155th birth anniversary of Rabindrantah Nath Tagore, whose Nobel winning collection of poems 'Gitanjali' was first published here, besides around 90 other literary pieces. Tagore visited the city five times and even staged a play here. "" Before he first visited the city in 1900, Tagore had penned his stories 'Aparajita', 'Jyatamashai', 'Shahjehan', 'Chanchala', 'Tajmahal', and 'Balaka Chhabi' and he met Chintamani Ghosh proprietor of Indian Press which published around 87 of his literary work,"" said Shankar Chatterjee, general secretary, Bengali Social and Welfare Association (BSCA). Tagore preferred Allahabad for good quality of printing. On his second visit in 1905, Tagore stayed at residence of Ramanand Chattopadhyay, principal, Kayastha Pathshsla.",Allahabad,"Sangam city, Allahabad"
43,"Gold, cash stolen from techie's home ","Cash and gold were stolen from a locked house at Madhichiyam in Madurai city police limits. The incident came to light on Friday morning when the house owner, an IT employee, returned home. Gold jewellery weighing seven sovereigns, an LED TV, a mobile phone, silver articles and 5,000 in cash were found stolen, police sources said. The thieves entered the house after break opening the front door, they revealed. Based on a complaint from the house owner, Dinesh Kannan, a case was registered at the Madhichiyam Police Station.","Madurai, Madhichiyam","Madurai, Madhichiyam"
44,RTI activist murder a message to silence city whistleblowers ,"Chennai: The brutal daylight murder of RTI activist J Parasmal (59), who would target the Chennai Corporation and TANGEDCO, has shocked other activists in the city. They see the murder as a way to silence protesting voice and hence curtailing dissent. "" The killing of activists is a warning to common citizens not to fight wrongdoers. The message is simple just be silent spectators to all the wrongs taking place right in front of your eyes,"" said RTI activists D Gopalakrishnan and R Vadivelu. Citizens are an integral part of democracy and it is their responsibility and right to point out flaws in the functioning of the government, the duo said.",Chennai,Chennai
45,"Farmer, son die as bus hits auto ","BENGALURU: A farmer and his son, who were on their way to sell coriander at the City Market, were killed after the goods autorickshaw they were travelling in was hit by a Telangana State Road Transport Corporation bus on Ballari Road on Friday morning. Nyathappa, 50 and Shivappa, 26, from Gollu village in Chikkaballapura district, cultivated coriander and sold them at the City Market. They'd transport the produce to the city in their goods vehicle. Shivappa was at the wheel when the bus from Telangana, which was coming towards Bengaluru, rear ended his autorickshaw at 4.50am near Vidyashilp Circle. The father-son duo died on the spot; the bodies were shifted to Yelahanka government hospital.","Telangana, BENGALURU","Ballari Road, Telangana, BENGALURU, Yelahanka, Chikkaballapura, City Market, Bengaluru, Vidyashilp Circle, Gollu"
